Last_Three_Digits,Date,Month,Years,First_Price,Last_Two_Digits_Upper,Three_Digits_Upper,Last_Two_Digits_Under,Datetime,day_of_week,weekday_name
128 464 375 953,1,2,2560,54672,72,672,42,2017-02-01,2,พุธ
066 807 426 628,17,1,2560,145157,57,157,25,2017-01-17,1,อังคาร
511 663 516 836,30,12,2559,377712,12,712,46,2016-12-30,4,ศุกร์
304 890 477 769,16,12,2559,435286,86,286,35,2016-12-16,4,ศุกร์
366 596 199 716,1,12,2559,86069,69,69,77,2016-12-01,3,พฤหัสบดี
513 873 148 450,16,11,2559,858383,83,383,44,2016-11-16,2,พุธ
040 682 558 570,1,11,2559,785438,38,438,86,2016-11-01,1,อังคาร
824 976 038 752,16,10,2559,571947,47,947,98,2016-10-16,6,อาทิตย์
692 885 032 587,1,10,2559,887102,2,102,33,2016-10-01,5,เสาร์
194 280 017 458,16,9,2559,240650,50,650,42,2016-09-16,4,ศุกร์
493 583 043 160,1,9,2559,638684,84,684,62,2016-09-01,3,พฤหัสบดี
334 335 630 669,16,8,2559,254004,4,4,33,2016-08-16,1,อังคาร
366 966 596 631,1,8,2559,272932,32,932,57,2016-08-01,0,จันทร์
538 983 472 871,16,7,2559,449764,64,764,55,2016-07-16,5,เสาร์
552 734 158 925,1,7,2559,82460,60,460,53,2016-07-01,4,ศุกร์
169 609 173 302,16,6,2559,73816,16,816,79,2016-06-16,3,พฤหัสบดี
251 804 321 749,1,6,2559,511825,25,825,14,2016-06-01,2,พุธ
111 775 880 937,16,5,2559,141737,37,737,98,2016-05-16,0,จันทร์
382 975 087 268,2,5,2559,399459,59,459,2,2016-05-02,0,จันทร์
238 403 046 671,16,4,2559,221609,9,609,87,2016-04-16,5,เสาร์
008 228 507 523,1,4,2559,66720,20,720,92,2016-04-01,4,ศุกร์
390 546 285 852,16,3,2559,134918,18,918,32,2016-03-16,2,พุธ
855 877 004 973,1,3,2559,439686,86,686,6,2016-03-01,1,อังคาร
426 530 155 743,16,2,2559,356364,64,364,98,2016-02-16,1,อังคาร
312 699 309 535,1,2,2559,927800,0,800,9,2016-02-01,0,จันทร์
625 999 054 076,17,1,2559,304371,71,371,50,2016-01-17,6,อาทิตย์
031 532 743 786,30,12,2558,8217,17,217,2,2015-12-30,2,พุธ
246 264 596 895,17,12,2558,930255,55,255,8,2015-12-17,3,พฤหัสบดี
140 250 094 638,1,12,2558,915350,50,350,78,2015-12-01,1,อังคาร
238 181 714 175,16,11,2558,795283,83,283,3,2015-11-16,0,จันทร์
241 028 643 802,1,11,2558,361211,11,211,45,2015-11-01,6,อาทิตย์
106 757 166 473,16,10,2558,968630,30,630,62,2015-10-16,4,ศุกร์
457 134 412 054,1,10,2558,594825,25,825,7,2015-10-01,3,พฤหัสบดี
175 918 440 799,16,9,2558,743148,48,148,6,2015-09-16,2,พุธ
435 209 375 084,1,9,2558,21094,94,94,89,2015-09-01,1,อังคาร
260 403 068 819,16,8,2558,33363,63,363,40,2015-08-16,6,อาทิตย์
781 227 624 648,1,8,2558,518677,77,677,53,2015-08-01,5,เสาร์
333 598 648 889,16,7,2558,121507,7,507,49,2015-07-16,3,พฤหัสบดี
761 461 830 294,1,7,2558,759049,49,49,26,2015-07-01,2,พุธ
565 814 081 567,16,6,2558,644742,42,742,5,2015-06-16,1,อังคาร
429 253 386 532,2,6,2558,388881,81,881,65,2015-06-02,1,อังคาร
314 700 876 969,16,5,2558,11421,21,421,38,2015-05-16,5,เสาร์
799 484 851 928,2,5,2558,543466,66,466,30,2015-05-02,5,เสาร์
818 163 366 195,16,4,2558,506260,60,260,38,2015-04-16,3,พฤหัสบดี
101 164 495 973,1,4,2558,605704,4,704,70,2015-04-01,2,พุธ
558 962 557 861,16,3,2558,48151,51,151,92,2015-03-16,0,จันทร์
339 622 623 757,1,3,2558,240237,37,237,34,2015-03-01,6,อาทิตย์
498 031 857 008,16,2,2558,1864,64,864,90,2015-02-16,0,จันทร์
843 103 825 392,1,2,2558,155537,37,537,79,2015-02-01,6,อาทิตย์
